User ID,Top k Items
20,"[ 2290  5187  3659 17199 17772 12481  5643  1315 17476 15621  4390 16656
 11969 13571  1835  1532 17207   407 14085  9372]"
21,"[ 4673  3411   515 13285 13309 16793  4108  5677 14281  7670  4856 11151
  4557  7353 13962  1334 13144  8895  2378  4561]"
22,"[10733 12998   879 16879 17621  1749 14449 11245  9799  4561 13260 17382
 14780  9811  9211  8159  8201  2164 15199 10264]"
23,"[16360  6695 16196 16830 12142 12157 17786 16023 11810  3283  9059  8545
  9120  8738  5301 10918  3041 12291 13707  5845]"
24,"[ 3240 12269  6303 12498 16438 16879  4177  9435 14828  5187  8030  1210
  9421  5643 10987  9664  7020  9612  8895 17613]"
25,"[16879  9799 10685 11245   257  4561 17020 10114  2173 15199 10733 10799
 16426 15883 12998  7670 14776 10471 14780 15467]"
26,"[ 4437 16385 14017 16427  6279 13551 15891  3228 14585  7716  7343  3766
  7582  3100  5204  6077 13270  2360  4907  7607]"
27,"[11315   701 13863  7818 14456  8257 14776  7200 10350  4437 16427 10799
  3240 13270  3285 15396     3 16960  2214  5204]"
28,"[ 4755  8093  2580 16539 13245  4561  4356 11868 13728 11140 16729  6363
 10121  6431 15352  9357  8030 15830 12880 14656]"
29,"[15850  4778 14828   693  9421 11820  3250  6162  4247 11782  1190  4177
 11868  9914  4561  2178  9440  8069  1986  5156]"
30,"[12157 13941  4012   357  2280 12291 17046  3025  2575   112  8140  4711
 12383 10918 17786 10038  5946  8020  7072 12086]"
31,"[ 3190  3056  6734 16665  9791 11143  6103  8755 16229 16934  3298  7934
 11042  4699  9848  5003 10126 11822   257  6586]"
32,"[ 1210  9421 17613  9691 13862 17621   804  8878 13478   515 12759  7329
 12511 17382  7477   478 15665  9799 11745 14776]"
33,"[ 7582   495 16385  3228 11193 16921  4437 10287 14585 17642  7716   865
  7029 13810    82  4907  2360  7343 14776 14787]"
34,"[16385  2360  7716  3228  4477  4437 10287  4907  9306  9211   495 16427
 14585  6162  3100 13587 10405 12489 14017 15891]"
35,"[ 8601 11950  2961 11914 14499   612 11010  3631 10751  8257 15748 14443
 16243  7615 15443 13130 11430  6627 14318  5845]"
36,"[ 7864 10050  6431  8279 10733  2793 12227  1742  1715  7041 14638 13260
 15199  5557  5912 15589  2093  3091  9629 12780]"
37,"[10633 17382  3590 10919  4925 17277  6077 15972 11823  9211 15535  3228
  5204 16385 13872   515  9799 14169 11010 10685]"
38,"[16498  7954  2907   253  3579 16971 14757 10350  9608 12636  8593 17477
  8430  4279 13496 14282  3195 10175  2107  4937]"
39,"[ 8426   257 14151 12370  9799 16602  3768   167 13144  1934 12089 13938
  5777  3859  5812 10471 13309 14012  9559  3853]"
40,"[14780  4561 17621 10407  8637 12269 10685 16879  3489  7329 12511  8878
   478 17382 12945  2384 17609  4789   167  3369]"
41,"[ 3240 16427  3411 12498  4437    49  6162 17609 17382 14828 14169  9421
   478 11315  9440 13270  3369 11010  5204 15535]"
42,"[13783 16858  3532  3432 14581  7150  4840 15577 17645  8136  3624 14641
  2836  4650 12675  7879  8738 12252  9694 16127]"
43,"[ 5187  4094  8505 16243  9175  3704  6556 12983   828  2190  6724 11914
 12470 12481 13261  5592 14258  4030  2360 13692]"
44,"[12157  5946  5187  6353 16830  8020 12291  3166  9165 17009 14443  2641
  2144 10769  7615  1447  7022 10171  1042 12416]"
45,"[ 2759  2887  6084 13394 10438  9357  2682  3128 12498  9664  3001 13365
  5187  9635  9211 17556  7417  6344  1575  5845]"
46,"[13728 13304 14794 10788  6174  2805 10634  9375  5083  7808 14449  9696
 12425  5643  4678  2956  1819  8240  5594  9391]"
47,"[12868  2682  5187 13616  5643  5631 11914   858  6303 12517 13055 15443
  8140  6084  4030 12481 16429  4184  9985  5845]"
48,"[  828  9211  3774  3704  7399 11010 10633  5187  6363  7716 16801  9440
  6556 11315  3762 15396  5596 12269  4094  7489]"
49,"[ 4900 16510  5083  4678 11354 10741   755  1871 14761 14850  7004 14983
 14794  9612  4849   733  9391 16458  3671  1997]"
50,"[10572  7272 12523  6213 14397 11948 14559  5415 11648  3438 13697  3325
  9288 10387 11165   426 11213 15982 15613    58]"
51,"[11140  7367  4172  9802  2119 13728  6162 13245  4201   355 16253  6279
 12759 12269  4385  2222 16601 15175  6363 12586]"
52,"[ 3902 13988  7144  4013 14302 14983 12761  4799  3207  4849 17290 11102
 15061 15767  4900 10269 17627  2991 11645 11755]"
53,"[ 6303  3965  6162  5187 12006  1210  9421 10438 12498  5845 13956  3001
  4030    68  2956   344  7329 13365 12759  1986]"
54,"[ 4561  8637 14281 10723  5328 16748 12539 11143  7925  4673  4856 15172
  9791 15376  3710  2299 13588  6431  9125 12507]"
55,"[ 6382   599  7066   391  2298  2956 15936  4177  2445   693  3404  6286
 15517  5303 14995  7411 12997 16483 15850 12865]"
56,"[11329 14930 11018 16179  9793 11225 12184 11711  3640 12037  7244  3707
 11119  9465  5860 15524  7950    15  7543 13168]"
57,"[17402 11868  3827  8016  1343 16438  7548 17067 12217 16237  5643  2119
  5825 15278  1540 15342 17688  5380  5377  9372]"
58,"[ 7399  5596 14372 15030  9513  4256  9235 12673   612 12828 11010  5557
 11697 10155  9559  4907  4131  5907 13839  8601]"
59,"[15860  5660 12184  5260  3145 16350  4627  3639 17598 15319  6054 11760
  9465  5942  2111 12394  4709  7244 12336  1238]"
60,"[ 2214 13863  3285 17715 10791 17020  7818 11162 10799 10222  7525  8257
 11232 10350  6349 11977 14795 15467 16508  6512]"
61,"[14789  3249 11185  4037  9644   733 11494  6213 15435  3207  6209  3185
 12675 14231  1292  6090  7189  2720 10173 11353]"
62,"[ 9716  9410 11460  2581 13438 10428 11049 11093 15924 13125  4075 15993
  6671 15306 10542  6739  2936  1311  5826  7489]"
63,"[ 9799 13300 10919   355  5340  5774 10733  4437 17701  9211 16427 12370
 12893  2384 12511  4561  2173  5725  8279  7329]"
64,"[10788 15413  5003  6586  8577  4062  1597  4817  7292  4641 15667 14262
 16767  1042 17793 16229  8400  9170 10128 11435]"
65,"[ 3190 11225 14834 10561 11143 15213  9793  7244  4472 17163 11119  6734
 11474 16748  1383 16665  3707 11042  7367  1989]"
66,"[ 4220 11042  8870  4062  5725  9834 16665 10302 13938 16253   670   383
 17668  2526 17675  3190 11039 12928 14008   843]"
67,"[ 6084 12269  8738 12142  2144  2759 14819  9335 14294  2190 15111  2340
 11168 11300  9175  8505 13672  5845 15828  6227]"
68,"[ 6023 16774  2575  3025 11516  2823   175 17752 10169 12156 15553  2579
 12923  7784   357 10834  2570 17786 12086  4012]"
69,"[10788 11143 11823  4373   599 17613  4561 15172   391 17621  7701  9612
  8755  5252 12880 16748 13285  8364   693  2413]"
70,"[ 7200  5204 10334 17420  4437 14456 16930  3984 16602  3766 13270 14776
  9306  9799  2678 14787 17142  8944  3228   184]"
71,"[ 6971 16738  5039  7934 13572 16857  5392  4789 16879 10425 17355 14656
  4177  5711  9007 16077 16109  9297 13245  4218]"
72,"[15319  5260 11267 11042 12184 11329  9218 16537 12394 12219  7543  5942
 17734  2195   986  2076  2465    15  7201 16669]"
73,"[ 6066  1292 14449  2720 10976 11648 13643  6746 15982  5377 14281 12763
 13572  6797 16344   228  5093 17402 12997 14789]"
74,"[17392 12206  1597  6586  5825  1848 12997  4641 14363  1521  4908  2432
  9092 15850  8140  1802 16857  5003 17043 10326]"
75,"[ 1232  8563  6556 15413  1155 17642  8717   146 11140  4861  3243 17147
 14017   432 10405 17565  2481   513  1835  8238]"
76,"[ 1522  6874 11758  6586 14095 13938 10411  5058 16767  6562 12754  5725
  1556  2501 15667  4062 10733   828  5221  9175]"
77,"[ 7660   214  3859 16879 13938  5303 13238   257   483 11143  6969  8159
  3906  8895 11859 14017 13107 15883 14449  1340]"
78,"[ 4561 15172   693  1984  5328 12089  6217 14012 11143  9125 17613  4673
  4778 15389    74 14015 12880 13300 10931  4755]"
79,"[ 6162   828  3548 13365  3240 15620 17772  9017  6084 16023 16801  2228
 11914   858  6646  3704 15111  1329  4184 13672]"
80,"[ 6084  5187  2190  8140 13672  4184 16023  1802 10326 17392  6036  9175
   407  6842  1521 12983  5825   828  8505  3751]"
81,"[ 9225 16743  4414  8215 16327  2144   451 16108 10212  8878  9596  6969
 17439 13682  4385 14017  2275  1877  9784  2173]"
82,"[ 1204  3704 13692  6303    68  3751   828  6724  7615 13672 13475 12576
 11193  3965  9175 11435 16730  3041 15752  2682]"
83,"[ 4218 13395 13643 10922 17371  8491 11648 14449 12425  2688  2076  2066
 11160   360 12227  3404    15  9696   609  5033]"
84,"[12498  3240 12759     3  9421  7145 17556 14828 11704  3001  5681  7818
  2178   478  9592  7374  1679  8093 12069 12269]"
85,"[15577 12816 12517 15619  1521  6084 13081  5116  4540 11513  4840 17645
 14929 14450 11969  8738 15169 15777 12364  9875]"
86,"[10685  4519  4561   478 15172 10409  9799  6432  4673  4676  8201 10264
  7965 12945 17420   515  8637  3307 17621 17287]"
87,"[ 3548  6637  7683  5303 13304  1521  6303 17094  4652  1385 14794 10438
  9612  6859 15517 17392 15852 15342 16857 11206]"
88,"[ 9958 15850 16503  9421  3965  2378 16318  7683  2228  6374  8030  3590
 14169  3762  8400  8895 11823  3909 17258 12441]"
89,"[14776 10334  3984 12828  7582 13872   184  6512  3766  2692  7607  3287
 10799 17420    82  2678    49  4437  9226 16602]"
90,"[ 6303  2759  5187  6084   858  4184  9635 10633  1802 13365 10212  3751
   407  5592  5825  3128 12481  6720  9175 13956]"
91,"[16930 14456  3540  3704  9211 15396 10790  4423 17420 10334  9440 10633
  5625 16602  6227 14776  7607  2144 14151  4789]"
92,"[10326 12498  6303  5575  8648  5187  8505  6162  7329  2178  5592  1802
 13365  9421 16427  3240  3001 11010 13862   407]"
93,"[13434  4042 10998  2750 13033  9457  1820  9033  8502 17693  5067  4581
 11144 14721  2594 14292 16334 16758 11491   217]"
94,"[ 2907 11658  7954 16498  6694 12955 14757 10175  2750 14282  3579 14565
 16138  8593  4825   217  2670  1099 13241  5038]"
95,"[13728  9985  5643 16429  5725  1455 11416  1210  3592 13572 10181  4385
  9372  8878  8016 15239  6969 13539  6174  4842]"
96,"[15622  8016   344  5825 12224  5013 11791  1540  8020 12772 14450 12513
 15593  7548  5643  1521  1857  7808  4285   363]"
97,"[10350  8257 14828  7818 10616 16002  3285 11162 12498  5990 17715 13863
 10799 11977  2214  4003  9196 10791 14484  4440]"
98,"[ 6439  6488 11597  8727  4851  5415  5093   298  4657  4285 11648 12865
 16610  9388  6606  4037 16341  3432  6066  4167]"
99,"[ 7848 13285  4402  7080 14281  7020  4673   491 15376  5047  2378  4561
  2591 10301  2445 15703   515  2299  5156  4789]"
100,"[10050  1383  5524 16310  6431  7934   257  9791 13533  3190  4789  9811
 14930 11039  9646  8435  1668  1043  3298 13619]"
101,"[15413  8717  8563  7998  4861  2481 13274  5341  9118 13085 13300  1232
 13063  7915  2972 15058  3701 17719  9790  3944]"
102,"[ 2144  2340  4385 14407  6969  3853  5725  4094   762  7329 12006  3704
 14780 12983  9211  4423 11140  2290  7709 16610]"
103,"[ 8130  3548  2807 13165 12295 17734 12226 17094 11067  4232 11229  2275
 15342  6303 17399 15735 16994  4908 17199  9903]"
104,"[16027  4285 16610  4557    58  6066  9709 15828 13136 11648  6439  5677
  7932  3431  9335  4606  1371 11257 13855  4657]"
105,"[ 1006 14946  5687 12734  4431  2929 10138  9059  7045   424  2660  2294
  6746  6439 16969  7470  7825  6798 12236 17572]"
106,"[ 7103  5083 16438 11868  2956 16818  6303  5959  9612 13876   693  6399
 16426  1210   285 17362  6124 12006 14281 15172]"
107,"[ 9211  5212 13238 13438 11173 16225 12998  5340 11677  5708   314 10428
  3272   879 10096   188  6077 16725  1912 11515]"
108,"[12945 14456  9629 16426  6431  4789  9503  7200  9440 16879  3859 15199
 14764 10763 14776 15396 16930  8878 10334  1048]"
109,"[11140 11745 12759  8878  6162 13810  6279  4907  2119 13551 16729  2580
  4437  9211  5340   355  5816  3489 17420 11168]"
110,"[10987  2144  6632  3548  9335  4440  8895  1575  9723 16426 12998   344
 10633  8633  8162  2290  8878 12997  2686  5725]"
111,"[11315   478   855 14828  3240 11782  8159 13365 12511 11010 15972  5681
  5592  2434  9799  7818 12998 14151 17382 11931]"
112,"[ 4900 14850 14983 12761  4849  3902  4013 11138  4678 10741 13988 11645
  5083 13304  2991  7004  1997  1871 16458 16510]"
113,"[ 3548  9335  9440  9130 14294 16426  1329  7934 11648  6237 16577   515
 10114  7020  2445  4440  4481 11631 16738  4789]"
114,"[13797  4650 17308  8727  6209  2575  5766 12284  6023  1224 13833  6757
  3025  5496 11516   357  2358 14678 13707  4328]"
115,"[16969  1237  5687  6746  7045  7328  4431 11022 14946  7643  1920 12119
  1227  4072 12191  2789  3063  5966   874  7550]"
116,"[17772  6724  6162 14258  4094 13692  2340  5212  2228 16656  3291  2360
 16385 15972 14017 17207  8505  9372 12479 12006]"
117,"[13438 14545 11049  6724  2322  1738  4075   188  9728 11093 10930 13470
  3479  5864  2936 12777  7489   513 15590  6556]"
118,"[ 2275  9834 17668 13682  3041 10756  2759  6586  2290  7281  5187  4184
  7856 13475  2382 17392  4129  6084 13321 13672]"
119,"[   49  4561 10334 14456 17420 11704  1796 17287 13872 17621 10114  4676
 16050  9799 13863  8279  4673  8637  9607 15396]"
120,"[ 9562  4285  5377  5825  7932 17740 10100 11494  6781 16610  1521  1540
 13728 13501  4037 16438  7017 15622 15593  5093]"
121,"[10403  1819  8681  1597  2144 10635 17439  8846 15342  3128 15763  8215
  2275  7900  2119  7951  9619  6632  9562  2378]"
122,"[11119  1989 15213  9793 14496 14262  9465  5214  8907  4098 10020  5942
  4631  8434 11042 12336  2653  2055  1002 11267]"
123,"[ 2907 11658     1 14757 12804 12636 13241  8430 10175  2297  4937  6283
 14277  3195  3089 16138  9608  3892 17477 14282]"
124,"[13533  9748  1742  1222 10080 13168 13729  2653  8435 15213 11125  2417
 14834  6306  7465  1459  7016 16444 16179 10425]"
125,"[ 7784  2144 13321  1292  8140  8738 14231 14017  3025  9165  1447  5212
 15431  8016 11159 12983   743 14517  2641  8446]"
126,"[ 3766 14776    49  7582 13270  3489  3984  7607 10334  4437 17382 16427
   648  5204  7200  9211 13151 16385 14585   478]"
127,"[17371 16879 14794  3250  4481  4789  7066 11160  4218  8491 16101 16482
  4177  5033 14930    15  9612  7934 17734  6971]"
128,"[17439 13571  4385   451 17772 14017  4414  8215  7709  2172  1958  6969
 15619 12517  8869  9165  4523  2747 14231  7329]"
129,"[ 1738  1912  3100 13556 12777  5958 13438  6556 12723 11309 17314 12189
 11049 15590 10428 13270  9306 12376  1137  8153]"
130,"[ 4037  6781 16237  8062 13787 11601  5692  4143  8130  3555  3370 13579
  2710  6973  8512  3438 17476  4923  7932   743]"
131,"[ 4561  4673  9799 15172  8279 15535 17621  3489 10135  5328 10685 15376
  2299   515  1992  4856 13144 14776 14666  7670]"
132,"[16879  4561 11315 17613  4789 12089 16503 17621  2384 15492 17376 11245
 15396 12883  9440 10114  9607 15352   478 14456]"
133,"[17715 14814  8794 15237  4373 16002  5303  9403 11859 15275 14795 16448
 13082  3816   257 10222 16779  8489  8650  5546]"
134,"[ 4437 10334 16602 16427 16385 14776  4907  7200  3489  9799  7607  9211
 14787  8279 10407    49 17420  7582 13270  3984]"
135,"[ 5003  4445  3762 17071 14236 10084 12094 14286 13168 17095  2024  3404
 10736   843  2619 16179  1908 17135  1007 16294]"
136,"[15891  7582 11859 17382  7515  5447  3984  5812 16602  9223 11020  1808
  7200  1340 12998 14151 10763  8530  9799 11010]"
137,"[ 8123  6413  7043 15634  3188  7255  8017 16434  9164 16101 11203 16879
 11502 13195  5060  4218  4623  8427  3677 11160]"
138,"[ 9612 17371  3707    15 14930  5303 15517  6898 11160  9391 12655 14794
  8491   609  2066 11977  6604  6637  4373  2956]"
139,"[12256 15443  7674 11914  1679 11950 14499 10484 13130 11430  2690 14318
 15620 15748 11931    52 12127 12064  8601  5907]"
140,"[ 9175 10633  2275  5187 12269  4094  6556  2340 13956  2144  3762  2759
   828 10438 16427   804  6084  1835  8505  3548]"
141,"[ 5643  6084 10438  8738 17645 15752  6672  9375   344 14583  1521  4184
 15169  2144 11673 12731  5187 13728  3548  2759]"
142,"[ 7145  6162  4177  6632 16427  3240  8944  1809  1802  9440   828  6303
 10393  1521  6084  7477  2144  1495  3704  3951]"
143,"[ 4247 14281 14015  8467 12498 11782  9421 16426  7145  3240   599 14828
 11151  8878  7020 14294 15972 17135 14169  6162]"
144,"[14456 10931 16879  4789  7374  4519 16101  5033  9421 16729  4755 17613
 15492  4218  9799  3240  9297  4561  3369 10763]"
145,"[11039  8846  1042 14638  1431  5003  7934  9488  4789  3298 13309 16767
 14485 14095  1043 11823 16610  6934 13635  4817]"
146,"[  391  3869 11648  6162  5392  9092  9335  8130  5218  5212  1819  7779
  9662  7932 11597 11820 11486  9017  6557  3250]"
147,"[ 2275 16054  1042   432 12565  3356  8577  3715  9709  8662   436  7610
 13779  5003 13475  2641 11229 12416  9059 14088]"
148,"[14496  8591 15319 12676 17734  3676 10020 16233  6851 11119  5561  3145
 16963  5260 17238 17350 15806  4257  5942 12394]"
149,"[17734 12676  4132 14794  9092  7017 11119  6028  8591 11932 15319 13053
  5561 11948 11081 15119 17598 15982  2973  5392]"
150,"[ 6382 14281   391  4789  9311  7934  2445  7411  2591  9125  9357 16426
   491  7080   599  6971  4440  8138  4481   625]"
151,"[17420  3766  5204   184 13270  4437 13872 17142  7200  7607  7582 12374
    82 10334  9471    49  3489 16664 14787 14776]"
152,"[16426 16879 14281  4481  3240 14656  4561  7020  9440  9799  7145 14294
  8093 12998  4177  9311  3369  6162 14828 12089]"
153,"[10763  9799 15891  5340 12998 17382  9223  5774     3 14776 16426   478
 13107  2173  5681 15887 15883 14456 14449  5322]"
154,"[  478 15492  8279 15094  4561 16879 11315 17609 11245 10799 15144  8257
 15396 12089 14780  7374 11704  9854  7749 17473]"
155,"[ 9799 12998 10763 16879 14764  8878 14151  1575 12370  5774  8159  9784
  7145 14449   663  3240 15239  9612   355   879]"
156,"[12998  5812  9799 15891 10799 13144 12828   879  3853   257  7660 16879
 10222 11859 14776  5681  8650  9559 16426  2450]"
157,"[  675 14583  1883  6466  5643   733  5855  1447  3885 15169  8020  4232
  1549 15393  6286 14450 13475  2501 12517 13616]"
158,"[ 7818   478 10799 14776 12828  9799 17609  2214    49 17020 10407 15535
 15492 10350  8279 12511  4003 10685  4423  3489]"
159,"[ 8504  3707 16179  8435 17734 11474  7543  7934 10080  5912  5214 14834
  4218 10819  8491  4481 14930  1742 11125 14496]"
160,"[ 2340 10633  3411   849 13478  3768  3631  9559 12961  4856  6227  9211
   167 14780 17135 16503 12269 15828  8717 13862]"
161,"[ 2228  5187  1204  3965   828  3631  2340   201 11914 13365 12983 11950
  5946  8648 16023  9175 10633  6162  3666   858]"
162,"[ 8136 10015 12610 16603  2910 11856  4285 12257 15099 13783  6066 14559
  9719  4343 16612 12772  8048  3467 10949  7609]"
163,"[12269 11010  6227 10633   804  3631 10438 12883  2340 14780   828  9175
 10910  8505  2972 12511 17315  2759  2144  5187]"
164,"[ 5204  7200  3766  3984  2678 14776 10334    82 13872  3489  3228  7582
 16385 16427 15434  3287  7607  4907 14787 13151]"
165,"[ 6873 10350   612 11162 12256  4003  9196  1679  7818 13863  2214  5990
  6627  5395  3285 17556 11931   701 16508 15639]"
166,"[10350   612  8257  2214 13863  1679  9196  7818  3285 14318  4003  5990
 12256  5395 16508 11950 10791  5907  6627 15639]"
167,"[ 5204 13270  4437  3766 16427  3228  3240  9211  3984  7343    49  3489
  4907  7607  8944  7199 14585  4094  7716 13151]"
168,"[10140 10084   277 13864 12054 15218  9539  1752  4989 10421 13720  3091
  3910 12011  2969 11888 12975 11579 13935  5028]"
169,"[12498  3240 11315 11782  1210  2434 14828 12256  4177  3001 15144   344
 10350 16427  7020 10799  7374  2178   828 11704]"
170,"[ 9457   217 17693  2750 14292  2594  1820  1099  4042 11840 14565  6694
  8950  2284  5357  5038 10124  5067 14282 11960]"
171,"[ 3166  7022  1447  8577  2038   432 12565 16830   457 12416 15593  6586
  4328 13321 12891  6897 14008 14013  6424  8446]"
172,"[16879  4789 14225  8878 15887 11143 16108  8159  3240  6532  8201  3190
  4755  5039 12945  3984 17613 13238 16101 11277]"
173,"[ 8201  9799 13300  8279 16879  5774 12998  4437  9629  9811  5047  4561
 10334 11143  4423  8159 14666  8141 15199  5777]"
174,"[ 8895 16879  3944  1210 16857  9170 13685 12883 13238  8432  4385   879
 11277 13572 14294 11342  6971  5825 10633  4789]"
175,"[ 9799 16879 15891  5681 12828 12998   478  3165 10763 10350  3984  7818
 14776  5322 15887 13107 17613 10685 11143 17020]"
176,"[ 5204  3489  7607  4437  3766 14776 11140  9211 16427 10334  4856   167
 13270  3984 13872 10685  7582  7343 13151 16385]"
177,"[  391  9084 11648  9125  3404  5415 10863   552   262 15527 17095 14834
 12865 17003  3433  7693 11651  8218 16179 15432]"
178,"[11510  4711 11601   242  7932 15527 10403  8086  3548  1521  5392  9694
  3291  9335  4923 13571 13787 15832 13304 11402]"
179,"[ 1679 12256 12064  2214 17556  7674    52 13130 10484  5395   612  8257
  9120 11430 10350  2690  7818 11551 11162  4003]"
180,"[15453 13539 13474  1857  4655  4037  8869  3752 16241 16807 15324   289
 13571 11165  3438  7665 14639 10360  6213  3042]"
181,"[ 3411 11010 16783 15492  8257 17613  2340   171 10500  8541 11950 10663
  3631 12498   828 12511  4673 15535 10407  4561]"
182,"[ 4437  4907 14585  3100  6556  6279 16921  9211  3766  7489  9066 17642
 16427  2360 11507 17565   513 16937 16385  3228]"
183,"[16108  6969  4385  9784  5246 11160 12998  8159 12624 12212 10393  9499
 10212  4425  9134  7991  4423  3694  2173  7296]"
184,"[ 5003 16767  3356  3470  8658   494 11823  8577  5825 13165  8470 16610
 11732  3457  3859  1042  2720  1522 12997  4078]"
185,"[12752  6637  9457   217 11914 15443  3283 12256 14231  4523  5151  1455
 10212 15007 17693 12142 14789  2594  1679 11513]"
186,"[13270 17142  4907  4437  9306  1137   648  3100   184 16427 11140  5204
  7200 13810  7716  7343  7607  2580 17420  6363]"
187,"[ 4075 13438   188  2936 14545  1738  2322 10428 11049  2581 13435  2222
 11093 13074  8773  9716 10930 14857  9085  5958]"
188,"[ 4561   167  2384  9607  4673 13872 17621  8637 15535 14776 10334  3590
  4856    49  7670  2299  1992  4519 16503  7622]"
189,"[11648 13168  2432  3676 10922 12394  7934 13185 11119 16179  4215  8470
  5234 11732  3640  5286  7244 16792 15274  8721]"
190,"[ 8491  4218 16108  2805 12846  8471  5033 11160  7786  2409  7934  9134
 10420  9646  9192  7864 14449  5052  4373  5322]"
191,"[10114 13522 17382  9211   515  3369  5373 15665  8895  8878 10633  3859
 15239  1934  4521  5340  3291 15396  4519 12883]"
192,"[ 8446 11312 12565    22 14017  5212 12983  8020  1546  3166  6353   186
  2148  3075  7784 13682 13941 12586 17009 15768]"
193,"[ 6382  9335  5116  5643 12771   391  6996  1521  3495  3869  4285  5430
  8130  4966  7770   625  3566 11486  1329  9937]"
194,"[16426 16779  8201 10222 17789 15172  5156  7975  3117  2450 13572   171
 11294  4557 11143 11631 15828 11648 14321  7586]"
195,"[10066  8764  3500 11119 15213 11648   609 16179 14413  5214   443   625
  9748 10819 17789 13168  5286  5912 14834 14536]"
196,"[14294  4030  3240  3548 16438  5187  2228 13365   879 10326  9440  9421
  7020 12883   828  3291  3001 16318  5825 12998]"
197,"[10733 16879  9784  5340 17382 12998 11245  4423   478 13365 12370  5246
 10763  5699 11704  4385  5774  9799  6303 10326]"
198,"[10685 17135  4561 15535   167  8279  1992  3411  4992 16503  4673  7622
 14169 12511  4856  9799  2299 15492 11168 12961]"
199,"[  217  9457 17693  9070  1820  1099 10998 14292  2750 14565  6694 10124
  8950  5038  2284  5357 14282 16204  5067 14703]"
200,"[ 9691  4437 13478 16426  7343 10685   167  3411  5816 12759 16427  6077
  8878 13127  8093 17135 15912  1305  9421  9799]"
201,"[ 8541  3666 16656 16107 10987 11619  3762  5373 11010  5187  8895  7985
   879  3099 11315   113 16243 12269  3411 12441]"
202,"[10350 13863  2214  7818  5990  3285  9196  4003 10791 10799 10616  5395
 12256  1679  8084   612 15639 17715 14828 11315]"
203,"[  858  5845 11969  8136 12816  8140 17476 12983  1802  2382  8020  6303
  3532  8356  6666 16656  6720  4711  2504 15431]"
204,"[12394 11648  7368 11310 11119   443  9696 16633 10922 14834 10788 14839
  6820 10572  2720 11329  2195  3320  8764 13533]"
205,"[14703 16818  2107  4646  9033  7737   860  5757  2502 13174  4177  2856
  5038 12785  8502 11201 11741  2032 11203   217]"
206,"[12664 15937  4825 15451  8593 13605 12785  2464 13496  2856  1625 14199
 16971 17127 16530 17477 13705 13090  5038 15140]"
207,"[  219  9629  9435  9440 11046   822  9811  9646 13012 16602  5699 12945
 14795 10751  2024  8650  9803  3853  4177  7864]"
